,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_MAN_AT_ARMS,UNIT_LINE_INFANTRY,UNIT_TREBUCHET,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_AMERICAN_ROUGH_RIDER,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_PORTUGUESE_NAU
UNIT_MILITARY_ENGINEER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01
UNIT_PIKEMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.44, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 5.85, 6.66, 9.48, 7.14, 3.17, 3.17, 2.20, 2.14, 4.73, 5.79, 100.00, 3.88, 1.77, 3.03, 4.54, 1.20, 1.39, 1.66, 100.00, 3.20, 1.70, 0.65, 0.64, 1.00, 2.14, 1.00, 0.83, 1.02, 100.00, 1.00, 0.38, 0.29, 0.45, 0.43, 0.31, 0.43, 0.38, 0.22, 0.39, 0.27, 0.15, 0.11, 100.00, 0.14, 0.36, 100.00, 0.03, 0.08, 0.13, 0.11, 0.05, 0.07, 0.07, 0.09, 0.07, 0.01, 0.01, 0.02, 82.58, 0.05, 0.21, 0.06, 0.07, 0.04, 0.05, 0.05, 82.58, 0.01, 0.02, 0.04, 0.06, 0.05, 0.83, 0.17, 0.87, 3.12, 0.31, 0.60, 0.33, 1.75, 1.39, 3.03, 0.98, 0.08, 1.00, 0.27, 0.24, 0.22, 0.90, 0.65, 0.67, 7.27, 0.12, 100.00, 0.45, 100.00, 2.86, 1.38, 0.33, 0.01, 100.00, 0.39, 1.08, 0.30, 2.22, 0.67, 1.39, 0.43, 2.20, 0.26, 0.22, 0.27, 2.05, 3.87, 100.00, 0.39, 1.79, 1.00, 4.00, 0.68, 1.16, 5.85, 100.00, 7.45, 0.45
UNIT_MUSKETMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.17, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 12.50, 10.00, 12.50, 9.09, 7.27, 7.27, 4.73, 3.33, 11.66, 8.65, 100.00, 9.83, 4.73, 4.50, 5.88, 3.17, 3.88, 3.08, 100.00, 5.88, 2.14, 1.69, 1.73, 1.44, 3.17, 1.44, 1.59, 2.22, 100.00, 2.64, 1.00, 0.79, 1.00, 0.87, 0.61, 0.83, 0.74, 0.43, 0.59, 0.39, 0.31, 0.31, 100.00, 0.31, 0.79, 100.00, 0.06, 0.21, 0.26, 0.22, 0.11, 0.15, 0.15, 0.26, 0.09, 0.02, 0.02, 0.03, 82.58, 0.09, 0.45, 0.09, 0.09, 0.05, 0.09, 0.10, 82.58, 0.01, 0.02, 0.07, 0.11, 0.06, 2.20, 0.45, 1.66, 8.65, 0.61, 1.17, 0.48, 2.78, 3.88, 4.50, 2.04, 0.16, 2.64, 0.54, 0.52, 0.43, 1.17, 1.69, 1.00, 12.50, 0.25, 100.00, 1.20, 100.00, 5.26, 2.05, 0.48, 0.02, 100.00, 0.59, 1.59, 0.45, 4.00, 1.00, 3.88, 0.83, 4.73, 0.69, 0.60, 0.39, 3.13, 10.85, 100.00, 0.59, 2.63, 1.44, 9.48, 1.28, 1.69, 12.50, 100.00, 14.28, 1.00
UNIT_SPANISH_CONQUISTADOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.08, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 14.28, 10.00, 14.28, 9.09, 9.01, 9.01, 6.20, 3.57, 13.33, 10.85, 100.00, 11.66, 6.20, 5.46, 6.66, 4.08, 4.73, 3.57, 100.00, 6.66, 2.50, 2.20, 2.18, 1.86, 4.08, 1.86, 1.89, 2.82, 100.00, 3.37, 1.26, 1.00, 1.26, 1.04, 0.74, 1.02, 0.90, 0.54, 0.74, 0.48, 0.39, 0.39, 100.00, 0.39, 1.00, 100.00, 0.08, 0.26, 0.32, 0.27, 0.13, 0.19, 0.19, 0.32, 0.11, 0.02, 0.02, 0.04, 82.58, 0.12, 0.59, 0.11, 0.11, 0.07, 0.11, 0.12, 82.58, 0.02, 0.03, 0.08, 0.14, 0.07, 2.78, 0.59, 2.03, 10.85, 0.74, 1.46, 0.63, 3.13, 4.73, 5.46, 2.49, 0.21, 3.37, 0.66, 0.67, 0.54, 1.42, 2.20, 1.26, 14.28, 0.30, 100.00, 1.53, 100.00, 5.88, 2.53, 0.63, 0.02, 100.00, 0.74, 2.05, 0.59, 4.54, 1.26, 4.73, 1.02, 6.20, 0.88, 0.77, 0.48, 3.33, 12.50, 100.00, 0.74, 2.94, 1.86, 11.23, 1.57, 2.20, 14.28, 100.00, 16.66, 1.26
UNIT_CARAVEL, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.17, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 12.50, 14.29, 12.50, 12.50, 7.27, 7.27, 4.73, 9.09, 10.85, 8.65, 100.00, 8.65, 4.73, 4.50, 7.69, 3.17, 3.88, 4.23, 100.00, 5.88, 6.08, 1.69, 1.73, 1.44, 3.17, 1.44, 4.00, 3.33, 100.00, 2.20, 1.00, 0.79, 1.00, 0.88, 0.88, 1.28, 1.14, 0.82, 0.59, 0.39, 0.31, 0.31, 100.00, 0.31, 1.13, 100.00, 0.07, 0.21, 0.21, 0.28, 0.13, 0.18, 0.18, 0.21, 0.09, 0.02, 0.02, 0.04, 82.58, 0.16, 0.45, 0.09, 0.09, 0.06, 0.09, 0.11, 82.58, 0.01, 0.03, 0.08, 0.09, 0.06, 2.20, 0.45, 1.94, 8.65, 0.88, 1.28, 0.48, 7.69, 3.88, 4.50, 4.73, 0.16, 2.20, 1.13, 0.75, 0.59, 2.75, 1.69, 1.00, 12.50, 0.42, 100.00, 1.00, 100.00, 7.14, 2.05, 0.48, 0.02, 100.00, 0.59, 1.59, 0.45, 5.88, 1.00, 3.88, 1.28, 4.73, 0.69, 0.48, 0.39, 9.09, 10.85, 100.00, 0.59, 5.26, 1.44, 9.48, 2.88, 1.69, 12.50, 100.00, 14.28, 1.00
UNIT_BOMBARD, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.56, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 23.88, 14.27, 12.11, 12.86, 10.01, 5.59, 7.88, 5.52, 6.04, 9.47, 7.85, 100.00, 7.85, 4.68, 3.57, 4.36, 3.20, 3.69, 5.50, 100.00, 7.14, 3.00, 1.85, 1.44, 1.22, 3.20, 1.22, 2.05, 1.55, 100.00, 2.29, 1.14, 0.96, 1.13, 1.00, 0.69, 0.97, 0.79, 0.29, 0.46, 0.32, 0.42, 0.45, 100.00, 0.35, 0.43, 100.00, 0.09, 0.32, 0.19, 0.25, 0.14, 0.17, 0.17, 0.32, 0.11, 0.04, 0.04, 0.06, 131.92, 0.08, 0.51, 0.15, 0.11, 0.10, 0.11, 0.08, 130.61, 0.03, 0.05, 0.12, 0.11, 0.07, 2.29, 0.60, 1.69, 7.85, 0.69, 1.15, 0.39, 2.38, 3.69, 3.57, 2.19, 0.30, 2.29, 0.34, 0.29, 0.49, 0.84, 1.85, 0.79, 12.86, 0.17, 100.00, 1.14, 100.00, 3.59, 1.64, 0.39, 0.02, 100.00, 0.46, 1.31, 0.36, 2.44, 0.79, 3.69, 0.97, 5.52, 0.86, 0.39, 0.32, 2.84, 9.47, 100.00, 0.46, 2.50, 1.22, 7.93, 1.02, 1.38, 14.27, 100.00, 15.80, 1.13
UNIT_FRIGATE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.61, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 18.19, 21.00, 16.39, 20.00, 7.88, 7.88, 5.52, 15.29, 13.27, 11.08, 100.00, 11.08, 6.62, 5.05, 14.29, 4.50, 5.20, 5.84, 100.00, 7.14, 10.71, 2.60, 2.29, 1.70, 4.50, 1.70, 6.95, 5.01, 100.00, 3.21, 1.63, 1.35, 1.13, 1.44, 1.00, 1.50, 1.22, 1.29, 0.65, 0.45, 0.66, 0.63, 100.00, 0.35, 1.57, 100.00, 0.10, 0.46, 0.25, 0.31, 0.17, 0.20, 0.20, 0.46, 0.15, 0.05, 0.05, 0.07, 131.92, 0.23, 0.51, 0.15, 0.15, 0.11, 0.15, 0.17, 130.61, 0.03, 0.06, 0.14, 0.15, 0.10, 3.21, 0.85, 2.20, 11.08, 1.00, 1.50, 0.55, 11.11, 5.20, 5.05, 5.52, 0.44, 3.21, 1.57, 1.05, 0.66, 4.41, 2.60, 1.13, 16.39, 0.73, 100.00, 1.63, 100.00, 11.11, 2.32, 0.55, 0.03, 100.00, 0.65, 1.82, 0.51, 7.69, 1.13, 5.20, 1.50, 5.52, 1.20, 0.55, 0.45, 12.50, 13.27, 100.00, 0.65, 5.00, 1.70, 10.61, 5.09, 1.94, 18.19, 100.00, 19.10, 1.13
UNIT_PRIVATEER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.47, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 22.04, 13.27, 17.66, 11.64, 16.66, 5.52, 5.52, 3.61, 12.11, 9.22, 7.45, 100.00, 7.45, 4.50, 3.34, 10.81, 3.21, 3.66, 4.00, 100.00, 5.72, 6.95, 1.86, 1.66, 1.13, 3.21, 1.13, 5.07, 3.54, 100.00, 2.30, 1.20, 0.98, 0.78, 1.02, 0.66, 1.00, 0.81, 0.88, 0.45, 0.29, 0.52, 0.46, 100.00, 0.23, 1.05, 100.00, 0.08, 0.38, 0.20, 0.20, 0.14, 0.17, 0.17, 0.38, 0.13, 0.04, 0.04, 0.06, 131.92, 0.15, 0.35, 0.13, 0.12, 0.09, 0.13, 0.14, 130.61, 0.03, 0.05, 0.11, 0.13, 0.08, 2.30, 0.63, 1.50, 7.45, 0.66, 1.00, 0.38, 10.00, 3.66, 3.34, 3.61, 0.36, 2.30, 1.05, 0.73, 0.45, 2.84, 1.86, 0.78, 11.64, 0.48, 100.00, 1.20, 100.00, 9.73, 1.55, 0.38, 0.02, 100.00, 0.45, 1.21, 0.35, 6.48, 0.78, 3.66, 1.00, 3.61, 0.85, 0.38, 0.29, 10.00, 9.22, 100.00, 0.45, 4.00, 1.13, 8.48, 3.60, 1.32, 13.27, 100.00, 14.51, 0.78
UNIT_ENGLISH_SEADOG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.80, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 22.04, 13.53, 17.66, 11.87, 16.66, 6.21, 6.21, 4.09, 12.11, 10.42, 8.39, 100.00, 8.39, 5.12, 3.77, 11.11, 3.64, 4.12, 4.86, 100.00, 5.88, 8.46, 2.10, 1.93, 1.27, 3.64, 1.27, 6.13, 4.28, 100.00, 2.61, 1.34, 1.11, 0.87, 1.25, 0.81, 1.22, 1.00, 1.05, 0.50, 0.34, 0.62, 0.53, 100.00, 0.27, 1.29, 100.00, 0.10, 0.44, 0.25, 0.25, 0.17, 0.20, 0.20, 0.44, 0.14, 0.05, 0.05, 0.07, 131.92, 0.19, 0.39, 0.14, 0.14, 0.11, 0.14, 0.17, 130.61, 0.03, 0.06, 0.14, 0.14, 0.09, 2.61, 0.70, 1.84, 8.39, 0.81, 1.22, 0.43, 10.00, 4.12, 3.77, 4.09, 0.42, 2.61, 1.29, 0.88, 0.54, 3.48, 2.10, 0.87, 11.87, 0.61, 100.00, 1.34, 100.00, 10.00, 1.76, 0.43, 0.03, 100.00, 0.50, 1.37, 0.39, 6.66, 0.87, 4.12, 1.22, 4.09, 0.98, 0.43, 0.34, 10.00, 10.42, 100.00, 0.50, 4.00, 1.27, 8.68, 4.41, 1.49, 13.53, 100.00, 14.51, 0.87
UNIT_FIELD_CANNON, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.52, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 24.03, 13.50, 22.04, 12.50, 11.64, 8.31, 5.59, 10.09, 18.19, 14.93, 100.00, 14.93, 9.22, 7.60, 9.09, 6.62, 7.45, 12.11, 100.00, 6.74, 6.88, 3.66, 3.20, 2.47, 6.62, 2.47, 5.84, 4.21, 100.00, 4.50, 2.30, 1.86, 1.22, 3.38, 0.78, 1.13, 0.95, 1.00, 0.98, 0.65, 0.79, 0.85, 100.00, 0.36, 1.22, 100.00, 0.14, 0.63, 0.46, 0.20, 0.09, 0.14, 0.14, 0.63, 0.19, 0.05, 0.05, 0.07, 131.92, 0.16, 0.55, 0.14, 0.18, 0.06, 0.19, 0.16, 130.61, 0.04, 0.05, 0.08, 0.19, 0.13, 4.50, 1.20, 3.42, 14.93, 0.61, 2.65, 0.82, 3.57, 7.45, 7.60, 3.36, 0.52, 4.50, 0.79, 0.81, 0.42, 1.78, 3.66, 1.70, 22.04, 0.43, 100.00, 2.30, 100.00, 7.14, 3.34, 0.82, 0.03, 100.00, 0.98, 2.66, 0.78, 5.00, 1.70, 7.45, 0.84, 5.59, 1.63, 0.82, 0.65, 3.84, 18.19, 100.00, 0.98, 2.94, 2.47, 13.53, 2.22, 2.86, 24.03, 100.00, 25.00, 1.22
UNIT_CAVALRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.46, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.66, 12.50, 16.66, 11.11, 11.11, 11.11, 8.65, 8.33, 10.98, 12.50, 100.00, 8.89, 8.65, 7.55, 7.69, 5.46, 6.42, 8.33, 100.00, 7.69, 5.88, 3.05, 2.95, 2.53, 5.46, 2.53, 4.54, 3.57, 100.00, 2.56, 1.69, 1.35, 1.69, 2.15, 1.52, 2.22, 1.97, 1.02, 1.00, 0.69, 0.53, 0.54, 100.00, 0.54, 1.35, 100.00, 0.13, 0.36, 0.54, 0.46, 0.21, 0.32, 0.32, 0.24, 0.16, 0.03, 0.03, 0.05, 82.58, 0.19, 0.79, 0.16, 0.15, 0.11, 0.16, 0.20, 82.58, 0.02, 0.04, 0.13, 0.11, 0.08, 3.88, 0.79, 4.79, 12.50, 1.52, 3.09, 0.88, 7.14, 6.42, 7.55, 8.65, 0.29, 2.56, 1.35, 0.90, 1.02, 3.45, 3.05, 1.69, 16.66, 0.51, 100.00, 1.16, 100.00, 6.66, 3.51, 0.88, 0.02, 100.00, 1.00, 2.78, 0.79, 5.26, 1.69, 6.42, 2.22, 8.65, 1.14, 0.59, 0.69, 7.69, 14.28, 100.00, 1.00, 7.14, 2.53, 13.33, 3.75, 3.05, 16.66, 100.00, 12.73, 1.69
UNIT_RUSSIAN_COSSACK, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 8.65, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 14.28, 14.28, 11.11, 10.00, 13.33, 14.28, 100.00, 11.40, 11.11, 11.11, 9.09, 8.65, 9.34, 10.00, 100.00, 9.09, 6.66, 4.50, 4.39, 3.88, 8.65, 3.88, 5.88, 4.54, 100.00, 3.72, 2.53, 2.05, 2.53, 3.09, 2.22, 3.45, 2.97, 1.52, 1.44, 1.00, 0.78, 0.79, 100.00, 0.79, 1.97, 100.00, 0.20, 0.54, 0.79, 0.68, 0.32, 0.46, 0.46, 0.36, 0.24, 0.04, 0.04, 0.08, 82.58, 0.28, 1.14, 0.24, 0.22, 0.16, 0.24, 0.30, 82.58, 0.03, 0.05, 0.19, 0.16, 0.11, 5.46, 1.14, 6.25, 14.28, 2.22, 4.79, 1.26, 9.09, 9.34, 11.11, 11.11, 0.42, 3.72, 1.97, 1.35, 1.52, 4.54, 4.50, 2.53, 20.00, 0.76, 100.00, 1.70, 100.00, 8.33, 5.23, 1.26, 0.03, 100.00, 1.44, 4.08, 1.14, 6.66, 2.53, 9.34, 3.45, 11.11, 1.69, 0.86, 1.00, 9.09, 16.66, 100.00, 1.44, 8.33, 3.88, 16.66, 5.26, 4.50, 20.00, 100.00, 16.66, 2.53
UNIT_ENGLISH_REDCOAT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 8.31, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 22.22, 14.29, 22.22, 14.29, 15.26, 15.26, 11.27, 5.00, 18.18, 15.38, 100.00, 16.66, 11.27, 10.45, 9.09, 8.31, 9.04, 5.55, 100.00, 9.09, 3.57, 5.31, 3.89, 4.87, 8.31, 4.87, 2.78, 4.16, 100.00, 6.70, 3.23, 2.52, 3.23, 2.38, 1.51, 1.92, 1.61, 1.26, 1.89, 1.28, 1.00, 1.00, 100.00, 1.00, 2.63, 100.00, 0.22, 0.67, 0.83, 0.68, 0.35, 0.49, 0.49, 0.82, 0.31, 0.06, 0.06, 0.08, 41.29, 0.30, 1.49, 0.31, 0.29, 0.21, 0.31, 0.32, 41.29, 0.04, 0.05, 0.21, 0.37, 0.16, 6.17, 1.49, 3.57, 15.38, 1.51, 3.13, 1.61, 4.16, 9.04, 10.45, 4.02, 0.52, 6.70, 1.31, 2.16, 1.26, 2.27, 5.31, 3.23, 22.22, 0.79, 100.00, 3.91, 100.00, 8.33, 6.09, 1.61, 0.03, 100.00, 1.89, 5.04, 1.49, 5.88, 3.23, 9.04, 1.92, 11.27, 2.18, 1.96, 1.28, 4.54, 18.18, 100.00, 1.89, 3.84, 4.87, 16.53, 2.63, 5.31, 22.22, 100.00, 22.22, 3.23
UNIT_FRENCH_GARDE_IMPERIALE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 10.85, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 25.00, 20.00, 25.00, 16.66, 16.66, 16.66, 12.50, 6.25, 22.22, 16.66, 100.00, 18.18, 12.50, 12.50, 11.11, 10.85, 11.11, 5.55, 100.00, 11.11, 3.84, 5.46, 5.31, 4.73, 10.85, 4.73, 3.33, 5.00, 100.00, 8.89, 3.17, 2.53, 3.17, 2.22, 1.59, 2.14, 1.89, 1.17, 1.86, 1.26, 1.00, 1.00, 100.00, 1.00, 2.58, 100.00, 0.18, 0.69, 0.71, 0.61, 0.31, 0.43, 0.43, 0.83, 0.31, 0.04, 0.04, 0.07, 82.58, 0.27, 1.44, 0.31, 0.28, 0.17, 0.31, 0.29, 82.58, 0.02, 0.04, 0.20, 0.38, 0.14, 7.27, 1.44, 3.57, 16.66, 1.59, 3.08, 1.59, 5.00, 11.11, 12.50, 4.16, 0.54, 8.89, 1.43, 1.69, 1.17, 2.63, 5.46, 3.17, 25.00, 0.68, 100.00, 3.87, 100.00, 10.00, 6.42, 1.59, 0.03, 100.00, 1.86, 5.23, 1.44, 7.69, 3.17, 11.11, 2.14, 12.50, 2.20, 1.91, 1.26, 5.55, 20.00, 100.00, 1.86, 4.54, 4.73, 20.00, 2.94, 5.46, 25.00, 100.00, 25.00, 3.17
UNIT_MEDIC, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01
